Welcome to Classical classification!
The working dir is: /home/aljaafn/Desktop/Sorted_images_family_level_with_aug_all_resized32_aug_10
The data has been divided with for 0.80 percent for training and 0.20 percent for testing

========================================================


KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='uniform')Classifier score             precision    recall  f1-score   support

          1       0.03      0.07      0.05       654
          2       0.00      0.00      0.00        36
          3       0.00      0.00      0.00        11
          4       0.02      0.04      0.02        51
          5       0.02      0.03      0.02       147
          6       0.01      0.03      0.02       147
          7       0.04      0.08      0.05       212
          8       0.04      0.07      0.05        60
          9       0.02      0.04      0.03       193
         10       0.29      0.56      0.38      4911
         11       0.08      0.08      0.08      1085
         12       0.10      0.10      0.10      1584
         13       0.00      0.00      0.00        11
         14       0.00      0.00      0.00        18
         15       0.08      0.05      0.06       305
         16       0.00      0.00      0.00        34
         17       0.01      0.01      0.01        85
         18       0.04      0.02      0.03       315
         19       0.03      0.03      0.03       224
         20       0.00      0.00      0.00         9
         21       0.00      0.00      0.00        13
         22       0.07      0.04      0.05       208
         23       0.00      0.00      0.00        15
         24       0.05      0.03      0.03        80
         25       0.00      0.00      0.00        60
         26       0.00      0.00      0.00        17
         27       0.00      0.00      0.00        13
         28       0.00      0.00      0.00        11
         29       0.00      0.00      0.00        15
         30       0.02      0.01      0.01       165
         31       0.00      0.00      0.00         9
         32       0.00      0.00      0.00        15
         33       0.04      0.03      0.03       143
         34       0.05      0.03      0.04       339
         35       0.05      0.03      0.04        33
         36       0.06      0.02      0.03       507
         37       0.05      0.02      0.03       221
         38       0.06      0.03      0.04       318
         39       0.05      0.01      0.02       162
         40       0.00      0.00      0.00       125
         41       0.10      0.04      0.05      1103
         42       0.00      0.00      0.00        98
         43       0.00      0.00      0.00       103
         44       0.07      0.02      0.03       354
         45       0.00      0.00      0.00       131
         46       0.11      0.01      0.03        67
         47       0.05      0.01      0.01       119
         48       0.00      0.00      0.00       284
         49       0.15      0.04      0.06       961
         50       0.15      0.05      0.07      1677
         51       0.08      0.00      0.01       236
         52       0.00      0.00      0.00        17
         53       0.00      0.00      0.00        57
         54       0.00      0.00      0.00        53
         55       0.50      0.03      0.06        60
         56       0.00      0.00      0.00       118
         57       0.00      0.00      0.00        65
         58       0.12      0.01      0.02       514
         59       0.00      0.00      0.00        14
         60       0.14      0.01      0.02       125
         61       0.00      0.00      0.00        18

avg / total       0.14      0.18      0.14     18735
Confusion Matix: 
[[48  1  2 ...,  0  0  0]
 [ 5  0  0 ...,  0  0  0]
 [ 0  0  0 ...,  0  0  0]
 ..., 
 [ 1  1  1 ...,  0  0  0]
 [10  0  0 ...,  0  1  0]
 [ 0  0  0 ...,  0  0  0]]
Accuracy: 0.150 (0.005)

========================================================


SVC(C=0.025, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)Classifier score             precision    recall  f1-score   support

          1       0.00      0.00      0.00       654
          2       0.00      0.00      0.00        36
          3       0.00      0.00      0.00        11
          4       0.00      0.00      0.00        51
          5       0.00      0.00      0.00       147
          6       0.00      0.00      0.00       147
          7       0.00      0.00      0.00       212
          8       0.00      0.00      0.00        60
          9       0.00      0.00      0.00       193
         10       0.26      1.00      0.42      4911
